Indiv	Arm01		Arm02		Arm03		Arm04		Arm05		Arm06		Arm07		Arm08		Arm09		Arm10		Arm11		Armo01		Armo02		Armo03		Am-AG-1		Am-AG-10		Am-AG-2B		Am-AG-4B		Am-AG-11		Am-ATC-2		Am-ATC-3		Am-CT-2		Am-CT-5
S485-AM102-12_S485_L001_M_001	95	95	NA	NA	131	131.2	179	179	NA	NA	147	147.2	185	185	81	109	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S486-AM30-18_S486_L001_M_001	87	107	NA	NA	131	131	163	163	NA	NA	147	147.2	185	185	81	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S487-AM102-01_S487_L001_M_001	87	107	NA	NA	131	131	191	199	NA	NA	147.2	147.2	177	185	81	81	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S488-AM202-05_S488_L001_M_001	95	107	NA	NA	131.2	131.2	187	199	NA	NA	147.2	147.2	185	185	81	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S489-AM102-11_S489_L001_M_001	95	107	NA	NA	131.2	131.2	179	179	NA	NA	147.2	147.2	185	185	97	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S490-AM46-01_S490_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	117	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S491-AM46-08_S491_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	193	NA	NA	109	117	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S492-AM102-10_S492_L001_M_001	95	107	NA	NA	131	131.2	179	187	NA	NA	147.2	147.2	185	185	97	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S493-AM46-05_S493_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	117	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S494-AM102-20_S494_L001_M_001	95	107	NA	NA	131	131.2	191	199	NA	NA	147	147.2	177	177	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S495-AM30-06_S495_L001_M_001	87	107	NA	NA	131	131	179	199	NA	NA	147.2	147.2	NA	NA	81	109	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S496-AM30-17_S496_L001_M_001	87	107	NA	NA	131	131	171	179	NA	NA	147	147.2	189	189	97	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S497-AM30-05_S497_L001_M_001	95	107	NA	NA	131	131.2	179	199	NA	NA	147	147.2	177	177	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S498-AM102-22_S498_L001_M_001	95	95	NA	NA	131.2	131.2	187	199	NA	NA	147.2	147.2	185	185	81	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S499-AM102-23_S499_L001_M_001	95	95	NA	NA	131	131.2	179	199	NA	NA	147	147.2	NA	NA	97	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S500-AM46-16_S500_L001_M_001	87	103	NA	NA	119.2	131.2	163	187	NA	NA	147	147	NA	NA	97	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S501-AM46-18_S501_L001_M_001	87	103	NA	NA	119	119.2	163	187	NA	NA	147	147	NA	NA	NA	NA	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S502-AM202-01_S502_L001_M_001	87	115	NA	NA	131.2	131.2	171	179	NA	NA	147.2	147.2	185	185	93	93	NA	NA	NA	NA	110	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S503-AM205-01_S503_L001_M_001	95	107	NA	NA	131	131.2	179	199	NA	NA	147	147.2	177	189	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S504-AM102-08_S504_L001_M_001	83	95	NA	NA	131	131	179	179	NA	NA	147	147	177	189	97	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S505-AM30-08_S505_L001_M_001	87	87	NA	NA	131	131	179	191	NA	NA	147	147	185	185	81	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S506-AM30-03_S506_L001_M_001	83	95	NA	NA	119.2	131	163	179	NA	NA	147.2	197	177	189	93	109	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S507-AM46-12_S507_L001_M_001	87	103	NA	NA	119.2	131.2	163	187	NA	NA	147	147	177	177	109	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
