Label,RowA,RowB,Score
Arm01,Arm01_106,Arm01_117,0.1
Arm01,Arm01_117,Arm01_106,0.1
Arm01,Arm01_107,Arm01_108,0.5
Arm01,Arm01_108,Arm01_107,0.5
Arm01,Arm01_107,Arm01_109,0.1
Arm01,Arm01_109,Arm01_107,0.1
Arm01,Arm01_107,Arm01_110,0.1
Arm01,Arm01_110,Arm01_107,0.1
Arm01,Arm01_107,Arm01_111,0.1
Arm01,Arm01_111,Arm01_107,0.1
Arm01,Arm01_107,Arm01_112,0.1
Arm01,Arm01_112,Arm01_107,0.1
Arm01,Arm01_107,Arm01_113,0.1
Arm01,Arm01_113,Arm01_107,0.1
Arm01,Arm01_107,Arm01_114,0.1
Arm01,Arm01_114,Arm01_107,0.1
Arm01,Arm01_107,Arm01_115,0.1
Arm01,Arm01_115,Arm01_107,0.1
Arm01,Arm01_107,Arm01_116,0.1
Arm01,Arm01_116,Arm01_107,0.1
Arm01,Arm01_107,Arm01_117,0.1
Arm01,Arm01_117,Arm01_107,0.1
Arm01,Arm01_108,Arm01_109,0.5
Arm01,Arm01_109,Arm01_108,0.5
Arm01,Arm01_108,Arm01_110,0.1
Arm01,Arm01_110,Arm01_108,0.1
Arm01,Arm01_108,Arm01_111,0.1
Arm01,Arm01_111,Arm01_108,0.1
Arm01,Arm01_108,Arm01_112,0.1
Arm01,Arm01_112,Arm01_108,0.1
Arm01,Arm01_108,Arm01_113,0.1
Arm01,Arm01_113,Arm01_108,0.1
Arm01,Arm01_108,Arm01_114,0.1
Arm01,Arm01_114,Arm01_108,0.1
Arm01,Arm01_108,Arm01_115,0.1
Arm01,Arm01_115,Arm01_108,0.1
Arm01,Arm01_108,Arm01_116,0.1
Arm01,Arm01_116,Arm01_108,0.1
Arm01,Arm01_108,Arm01_117,0.1
Arm01,Arm01_117,Arm01_108,0.1
Arm01,Arm01_109,Arm01_110,0.5
Arm01,Arm01_110,Arm01_109,0.5
Arm01,Arm01_109,Arm01_111,0.1
Arm01,Arm01_111,Arm01_109,0.1
Arm01,Arm01_109,Arm01_112,0.1
Arm01,Arm01_112,Arm01_109,0.1
Arm01,Arm01_109,Arm01_113,0.1
Arm01,Arm01_113,Arm01_109,0.1
Arm01,Arm01_109,Arm01_114,0.1
Arm01,Arm01_114,Arm01_109,0.1
Arm01,Arm01_109,Arm01_115,0.1
Arm01,Arm01_115,Arm01_109,0.1
Arm01,Arm01_109,Arm01_116,0.1
Arm01,Arm01_116,Arm01_109,0.1
Arm01,Arm01_109,Arm01_117,0.1
Arm01,Arm01_117,Arm01_109,0.1
Arm01,Arm01_110,Arm01_111,0.5
Arm01,Arm01_111,Arm01_110,0.5
Arm01,Arm01_110,Arm01_112,0.1
Arm01,Arm01_112,Arm01_110,0.1
Arm01,Arm01_110,Arm01_113,0.1
Arm01,Arm01_113,Arm01_110,0.1
Arm01,Arm01_110,Arm01_114,0.1
Arm01,Arm01_114,Arm01_110,0.1
Arm01,Arm01_110,Arm01_115,0.1
Arm01,Arm01_115,Arm01_110,0.1
Arm01,Arm01_110,Arm01_116,0.1
Arm01,Arm01_116,Arm01_110,0.1
Arm01,Arm01_110,Arm01_117,0.1
Arm01,Arm01_117,Arm01_110,0.1
Arm01,Arm01_111,Arm01_112,0.5
Arm01,Arm01_112,Arm01_111,0.5
Arm01,Arm01_111,Arm01_113,0.1
Arm01,Arm01_113,Arm01_111,0.1
Arm01,Arm01_111,Arm01_114,0.1
Arm01,Arm01_114,Arm01_111,0.1
Arm01,Arm01_111,Arm01_115,0.1
Arm01,Arm01_115,Arm01_111,0.1
Arm01,Arm01_111,Arm01_116,0.1
Arm01,Arm01_116,Arm01_111,0.1
Arm01,Arm01_111,Arm01_117,0.1
Arm01,Arm01_117,Arm01_111,0.1
Arm01,Arm01_112,Arm01_113,0.5
Arm01,Arm01_113,Arm01_112,0.5
Arm01,Arm01_112,Arm01_114,0.1
Arm01,Arm01_114,Arm01_112,0.1
Arm01,Arm01_112,Arm01_115,0.1
Arm01,Arm01_115,Arm01_112,0.1
Arm01,Arm01_112,Arm01_116,0.1
Arm01,Arm01_116,Arm01_112,0.1
Arm01,Arm01_112,Arm01_117,0.1
Arm01,Arm01_117,Arm01_112,0.1
Arm01,Arm01_113,Arm01_114,0.1
Arm01,Arm01_114,Arm01_113,0.1
Arm01,Arm01_113,Arm01_115,0.1
Arm01,Arm01_115,Arm01_113,0.1
Arm01,Arm01_113,Arm01_116,0.1
Arm01,Arm01_116,Arm01_113,0.1
Arm01,Arm01_113,Arm01_117,0.1
Arm01,Arm01_117,Arm01_113,0.1
Arm01,Arm01_114,Arm01_115,0.5
Arm01,Arm01_115,Arm01_114,0.5
Arm01,Arm01_114,Arm01_116,0.1
Arm01,Arm01_116,Arm01_114,0.1
Arm01,Arm01_114,Arm01_117,0.1
Arm01,Arm01_117,Arm01_114,0.1
Arm01,Arm01_115,Arm01_116,0.5
Arm01,Arm01_116,Arm01_115,0.5
Arm01,Arm01_115,Arm01_117,0.1
Arm01,Arm01_117,Arm01_115,0.1
Arm01,Arm01_116,Arm01_117,0.5
Arm01,Arm01_117,Arm01_116,0.5
Arm04,Arm04_101,Arm04_102,0.1
Arm04,Arm04_102,Arm04_101,0.1
Arm04,Arm04_101,Arm04_103,0.1
Arm04,Arm04_103,Arm04_101,0.1
Arm04,Arm04_101,Arm04_104,0.1
Arm04,Arm04_104,Arm04_101,0.1
Arm04,Arm04_101,Arm04_105,0.1
Arm04,Arm04_105,Arm04_101,0.1
Arm04,Arm04_101,Arm04_106,0.1
Arm04,Arm04_106,Arm04_101,0.1
Arm04,Arm04_101,Arm04_107,0.1
Arm04,Arm04_107,Arm04_101,0.1
Arm04,Arm04_101,Arm04_108,0.1
Arm04,Arm04_108,Arm04_101,0.1
Arm04,Arm04_101,Arm04_109,0.1
Arm04,Arm04_109,Arm04_101,0.1
Arm04,Arm04_101,Arm04_110,0.1
Arm04,Arm04_110,Arm04_101,0.1
Arm04,Arm04_101,Arm04_111,0.1
Arm04,Arm04_111,Arm04_101,0.1
Arm04,Arm04_101,Arm04_112,0.1
Arm04,Arm04_112,Arm04_101,0.1
Arm04,Arm04_101,Arm04_113,0.1
Arm04,Arm04_113,Arm04_101,0.1
