,Arm09_101,Arm09_102,Arm09_103,Arm09_104,Arm09_105,Arm09_106,Arm09_107
Arm09_101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arm09_102,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Arm09_103,0.0,0.0,1.0,0.1,0.0,0.0,0.0
Arm09_104,0.0,0.0,0.5,1.0,0.0,0.1,0.0
Arm09_105,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arm09_106,0.0,0.0,0.0,0.5,0.0,1.0,0.0
Arm09_107,0.0,0.0,0.0,0.0,0.0,0.0,1.0
