,Arm03_101,Arm03_102,Arm03_103,Arm03_104,Arm03_105,Arm03_106,Arm03_107
Arm03_101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arm03_102,0.0,1.0,0.1,0.0,0.0,0.0,0.0
Arm03_103,0.0,0.5,1.0,0.0,0.1,0.0,0.0
Arm03_104,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Arm03_105,0.0,0.0,0.5,0.0,1.0,0.1,0.0
Arm03_106,0.0,0.0,0.0,0.0,0.5,1.0,0.0
Arm03_107,0.0,0.0,0.0,0.0,0.0,0.0,1.0
