Allele1,Allele2,Value
Armo01_113,Armo01_110,0.0
Armo01_113,Armo01_111,0.1
Armo01_113,Armo01_112,0.0
Armo01_113,Armo01_113,1.0
Armo01_113,Armo01_114,0.0
Armo01_114,Armo01_101,0.0
Armo01_114,Armo01_102,0.0
Armo01_114,Armo01_103,0.0
Armo01_114,Armo01_104,0.0
Armo01_114,Armo01_105,0.0
Armo01_114,Armo01_106,0.0
Armo01_114,Armo01_107,0.0
Armo01_114,Armo01_108,0.0
Armo01_114,Armo01_109,0.0
Armo01_114,Armo01_110,0.1
Armo01_114,Armo01_111,0.0
Armo01_114,Armo01_112,0.1
Armo01_114,Armo01_113,0.0
Armo01_114,Armo01_114,1.0
