marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	63	178	178	0	261	261	0	206	206	0
AfAa003	64	751	751	0	754	754	0	752	752	0
AfAa005	44	728	728	0	729	729	0	728	728	0
AfAa006	50	413	413	0	428	428	0	423	423	0
AfAa009	44	392	392	0	497	497	0	525	525	0
AfAa010	47	428	428	0	476	476	0	470	469	1
AfAa011	51	450	450	0	476	476	0	482	482	0
AfAa018	52	495	495	0	500	500	0	495	495	0
AfAa021	45	389	389	0	403	403	0	403	403	0
AfAa023	43	321	321	0	634	634	0	322	322	0
AfAa024	40	380	380	0	410	410	0	392	392	0
AfAa025	23	263	263	0	266	266	0	263	263	0
AfAa026	47	361	361	0	389	389	0	388	388	0
AfAa028	30	205	205	0	233	233	0	224	224	0
AfAa030	53	404	404	0	414	414	0	405	405	0
AfAa031	56	297	297	0	297	297	0	297	297	0
AfAa032	42	274	274	0	309	309	0	298	298	0
AfAa036	27	193	193	0	292	290	2	320	320	0
AfAa041	15	76	76	0	89	86	3	80	80	0
AfAa042	48	323	323	0	326	326	0	325	325	0
AfAa043	58	292	292	0	318	317	1	314	313	1
AfAa051	23	124	124	0	256	255	1	192	192	0
AfAa052	48	52	52	0	54	54	0	52	52	0
AfAa053	3	9	9	0	9	9	0	316	316	0
AfAa054	48	228	228	0	255	255	0	265	264	1
AfAa056	1	1	1	0	3	3	0	7	7	0
AfAa059	19	118	118	0	166	165	1	122	122	0
AfAa060	26	87	87	0	94	93	1	132	132	0

total reads	9268
unrecognised reads	2
