marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	47	428	428	0	479	479	0	434	434	0
AfAa003	57	688	688	0	693	693	0	691	691	0
AfAa005	42	588	588	0	591	591	0	588	588	0
AfAa006	51	376	376	0	386	386	0	379	378	1
AfAa009	36	383	383	0	458	457	1	478	478	0
AfAa010	35	325	325	0	341	341	0	337	337	0
AfAa011	48	564	564	0	582	582	0	577	577	0
AfAa018	55	469	469	0	472	472	0	475	475	0
AfAa021	53	380	380	0	390	390	0	387	387	0
AfAa023	59	339	339	0	921	921	0	342	342	0
AfAa024	42	406	406	0	423	423	0	409	408	1
AfAa025	21	177	177	0	177	177	0	177	177	0
AfAa026	46	370	370	0	380	380	0	383	383	0
AfAa028	28	178	178	0	213	201	12	200	199	1
AfAa030	69	344	344	0	366	366	0	345	345	0
AfAa031	46	347	347	0	348	348	0	348	348	0
AfAa032	55	365	365	0	369	369	0	371	371	0
AfAa036	30	170	170	0	248	248	0	271	271	0
AfAa041	30	131	131	0	144	141	3	145	145	0
AfAa042	54	303	303	0	310	310	0	307	307	0
AfAa043	42	325	325	0	333	333	0	354	354	0
AfAa051	11	67	67	0	159	159	0	107	106	1
AfAa052	34	40	40	0	43	43	0	40	40	0
AfAa053	5	91	91	0	100	100	0	674	674	0
AfAa054	36	214	214	0	240	239	1	234	234	0
AfAa056	0	0	0	0	0	0	0	6	6	0
AfAa059	26	104	104	0	133	132	1	112	112	0
AfAa060	25	92	92	0	108	108	0	119	119	0

total reads	9339
unrecognised reads	2
