marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	61	550	550	0	608	608	0	557	557	0
AfAa003	58	829	829	0	831	831	0	830	830	0
AfAa005	45	689	689	0	693	693	0	691	691	0
AfAa006	66	417	417	0	430	430	0	420	420	0
AfAa009	52	402	402	0	503	502	1	519	519	0
AfAa010	40	354	354	0	392	392	0	384	384	0
AfAa011	48	614	614	0	633	633	0	636	636	0
AfAa018	70	528	528	0	535	535	0	529	529	0
AfAa021	55	470	470	0	478	478	0	479	479	0
AfAa023	45	330	330	0	956	956	0	330	330	0
AfAa024	46	456	456	0	466	466	0	461	461	0
AfAa025	26	215	215	0	215	215	0	215	215	0
AfAa026	44	418	418	0	447	446	1	434	434	0
AfAa028	38	237	237	0	274	270	4	255	254	1
AfAa030	60	364	364	0	374	374	0	364	364	0
AfAa031	62	370	370	0	372	372	0	370	370	0
AfAa032	61	372	372	0	381	381	0	385	385	0
AfAa036	36	167	167	0	253	251	2	289	289	0
AfAa041	22	112	112	0	128	127	1	121	121	0
AfAa042	57	349	349	0	360	360	0	354	354	0
AfAa043	51	310	310	0	325	325	0	332	332	0
AfAa051	25	75	75	0	196	195	1	134	134	0
AfAa052	52	52	52	0	54	53	1	53	53	0
AfAa053	2	5	5	0	10	10	0	631	631	0
AfAa054	56	233	233	0	267	267	0	265	265	0
AfAa056	1	1	1	0	1	1	0	3	3	0
AfAa059	15	76	76	0	112	108	4	87	87	0
AfAa060	24	98	98	0	108	108	0	129	129	0

total reads	10335
unrecognised reads	1
