marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	49	264	264	0	339	338	1	292	292	0
AfAa003	64	701	701	0	703	703	0	701	701	0
AfAa005	42	604	604	0	605	605	0	604	604	0
AfAa006	57	420	420	0	435	435	0	424	424	0
AfAa009	42	399	399	0	511	510	1	530	530	0
AfAa010	39	344	344	0	376	376	0	386	386	0
AfAa011	50	513	513	0	536	536	0	557	557	0
AfAa018	50	476	476	0	480	480	0	480	480	0
AfAa021	56	422	422	0	437	437	0	431	431	0
AfAa023	44	315	315	0	634	634	0	316	316	0
AfAa024	41	395	395	0	423	422	1	405	405	0
AfAa025	25	302	302	0	305	305	0	302	302	0
AfAa026	40	368	368	0	400	399	1	385	385	0
AfAa028	30	252	252	0	293	293	0	265	264	1
AfAa030	50	372	372	0	382	382	0	373	373	0
AfAa031	53	255	255	0	255	255	0	256	256	0
AfAa032	48	288	288	0	319	319	0	315	315	0
AfAa036	33	209	209	0	320	320	0	340	340	0
AfAa041	20	65	65	0	81	79	2	69	69	0
AfAa042	56	319	319	0	327	326	1	325	325	0
AfAa043	45	291	291	0	325	325	0	314	314	0
AfAa051	16	121	121	0	241	241	0	198	198	0
AfAa052	47	53	53	0	57	55	2	53	53	0
AfAa053	0	0	0	0	1	1	0	318	318	0
AfAa054	57	284	284	0	300	300	0	311	311	0
AfAa056	1	1	1	0	1	1	0	4	4	0
AfAa059	22	114	114	0	161	159	2	119	119	0
AfAa060	26	106	106	0	110	110	0	149	149	0

total reads	9291
unrecognised reads	2
