marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	45	392	392	0	436	436	0	395	395	0
AfAa003	57	592	592	0	594	594	0	593	593	0
AfAa005	38	517	517	0	517	517	0	518	518	0
AfAa006	47	312	312	0	322	322	0	313	313	0
AfAa009	33	290	290	0	348	347	1	379	379	0
AfAa010	36	252	252	0	272	272	0	294	294	0
AfAa011	46	435	435	0	452	452	0	453	453	0
AfAa018	49	390	390	0	391	391	0	391	391	0
AfAa021	37	337	337	0	343	343	0	346	346	0
AfAa023	44	270	270	0	729	729	0	271	271	0
AfAa024	38	337	337	0	341	341	0	341	341	0
AfAa025	19	138	138	0	138	138	0	139	139	0
AfAa026	30	324	324	0	344	344	0	340	340	0
AfAa028	30	186	186	0	217	216	1	204	204	0
AfAa030	42	243	243	0	255	255	0	244	244	0
AfAa031	38	269	269	0	269	269	0	269	269	0
AfAa032	48	317	317	0	324	324	0	325	325	0
AfAa036	30	143	143	0	206	206	0	209	209	0
AfAa041	22	85	85	0	96	96	0	88	88	0
AfAa042	42	258	258	0	260	260	0	261	261	0
AfAa043	50	229	229	0	243	243	0	244	244	0
AfAa051	10	44	44	0	128	125	3	90	88	2
AfAa052	35	37	37	0	38	38	0	37	37	0
AfAa053	3	3	3	0	3	3	0	456	456	0
AfAa054	41	189	189	0	227	227	0	202	202	0
AfAa056	1	1	1	0	1	1	0	5	5	0
AfAa059	15	67	67	0	93	93	0	75	75	0
AfAa060	11	60	60	0	69	69	0	85	85	0

total reads	7608
unrecognised reads	1
