marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	53	221	221	0	274	273	1	248	248	0
AfAa003	52	638	638	0	639	639	0	640	640	0
AfAa005	40	655	655	0	655	655	0	656	656	0
AfAa006	55	357	357	0	365	365	0	365	365	0
AfAa009	39	412	412	0	517	517	0	526	526	0
AfAa010	39	321	321	0	353	353	0	354	354	0
AfAa011	41	435	435	0	476	475	1	471	471	0
AfAa018	50	407	407	0	409	409	0	410	410	0
AfAa021	70	379	379	0	393	393	0	393	393	0
AfAa023	47	304	304	0	523	523	0	304	304	0
AfAa024	43	338	338	0	365	364	1	346	344	2
AfAa025	20	289	289	0	295	295	0	290	290	0
AfAa026	42	423	423	0	453	453	0	447	447	0
AfAa028	33	255	255	0	285	285	0	279	278	1
AfAa030	48	392	392	0	401	401	0	393	393	0
AfAa031	47	280	280	0	281	281	0	280	280	0
AfAa032	40	300	300	0	331	330	1	325	325	0
AfAa036	25	182	182	0	269	268	1	288	288	0
AfAa041	10	61	61	0	73	72	1	63	63	0
AfAa042	49	322	322	0	328	327	1	326	326	0
AfAa043	43	282	282	0	311	310	1	312	312	0
AfAa051	22	97	96	1	206	205	1	175	174	1
AfAa052	55	61	61	0	63	63	0	62	62	0
AfAa053	1	1	1	0	2	2	0	219	219	0
AfAa054	51	285	285	0	308	308	0	299	299	0
AfAa056	0	0	0	0	2	2	0	6	6	0
AfAa059	26	132	132	0	171	168	3	141	141	0
AfAa060	22	135	135	0	145	145	0	170	170	0

total reads	8841
unrecognised reads	1
