marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	61	451	451	0	498	498	0	456	456	0
AfAa003	62	781	781	0	785	785	0	783	783	0
AfAa005	43	669	669	0	670	670	0	670	670	0
AfAa006	63	456	456	0	472	472	0	457	457	0
AfAa009	56	431	431	0	520	520	0	555	555	0
AfAa010	35	321	321	0	339	339	0	335	335	0
AfAa011	55	635	635	0	653	653	0	667	667	0
AfAa018	62	566	566	0	566	566	0	569	569	0
AfAa021	52	400	400	0	406	406	0	407	407	0
AfAa023	61	404	404	0	1052	1051	1	406	406	0
AfAa024	51	468	467	1	484	483	1	470	469	1
AfAa025	18	216	216	0	217	217	0	220	220	0
AfAa026	51	472	472	0	496	496	0	492	492	0
AfAa028	46	257	257	0	291	281	10	273	273	0
AfAa030	86	408	408	0	426	426	0	411	411	0
AfAa031	64	397	397	0	399	399	0	397	397	0
AfAa032	62	396	396	0	413	413	0	407	407	0
AfAa036	41	234	234	0	330	329	1	341	341	0
AfAa041	33	128	128	0	145	140	5	145	145	0
AfAa042	56	382	382	0	392	392	0	385	385	0
AfAa043	60	410	410	0	439	439	0	444	444	0
AfAa051	13	61	61	0	166	164	2	105	104	1
AfAa052	40	44	44	0	50	50	0	44	44	0
AfAa053	3	101	101	0	105	105	0	739	739	0
AfAa054	57	261	261	0	288	288	0	296	296	0
AfAa056	0	0	0	0	1	1	0	10	10	0
AfAa059	21	103	103	0	142	139	3	111	111	0
AfAa060	22	87	87	0	108	108	0	120	120	0

total reads	10783
unrecognised reads	4
