marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	82	199	199	0	256	255	1	222	222	0
AfAa003	63	616	616	0	622	622	0	676	676	0
AfAa005	45	617	617	0	617	617	0	618	618	0
AfAa006	40	323	323	0	334	333	1	326	326	0
AfAa009	47	365	365	0	465	465	0	478	478	0
AfAa010	47	359	359	0	395	395	0	389	389	0
AfAa011	59	455	455	0	479	479	0	487	487	0
AfAa018	70	276	276	0	283	283	0	277	277	0
AfAa021	46	328	328	0	339	339	0	341	341	0
AfAa023	48	328	328	0	587	587	0	331	331	0
AfAa024	48	354	354	0	376	375	1	373	373	0
AfAa025	25	266	266	0	270	270	0	266	266	0
AfAa026	54	447	447	0	478	477	1	460	460	0
AfAa028	27	185	185	0	207	207	0	209	209	0
AfAa030	54	346	346	0	357	357	0	348	348	0
AfAa031	52	414	414	0	415	415	0	416	416	0
AfAa032	39	277	277	0	303	303	0	300	300	0
AfAa036	35	217	217	0	303	302	1	328	328	0
AfAa041	20	69	69	0	79	79	0	72	72	0
AfAa042	57	309	309	0	313	313	0	311	311	0
AfAa043	61	248	248	0	269	269	0	274	274	0
AfAa051	13	67	67	0	172	172	0	134	134	0
AfAa052	40	40	40	0	41	40	1	40	40	0
AfAa053	0	0	0	0	63	63	0	257	257	0
AfAa054	68	314	314	0	335	335	0	326	326	0
AfAa056	4	4	4	0	8	8	0	9	9	0
AfAa059	25	129	129	0	164	161	3	137	137	0
AfAa060	25	90	90	0	99	99	0	121	121	0

total reads	8585
unrecognised reads	1
