marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	59	194	194	0	281	281	0	218	218	0
AfAa003	67	715	715	0	719	719	0	716	716	0
AfAa005	37	721	721	0	722	722	0	721	721	0
AfAa006	45	379	379	0	397	397	0	389	389	0
AfAa009	47	364	364	0	471	471	0	481	481	0
AfAa010	40	390	390	0	427	427	0	435	435	0
AfAa011	42	470	470	0	493	492	1	509	509	0
AfAa018	63	511	511	0	516	516	0	513	513	0
AfAa021	48	395	395	0	414	414	0	415	415	0
AfAa023	58	308	308	0	533	533	0	309	309	0
AfAa024	44	384	384	0	411	410	1	395	394	1
AfAa025	22	286	286	0	286	286	0	287	287	0
AfAa026	40	378	378	0	407	406	1	397	397	0
AfAa028	31	230	230	0	265	265	0	251	251	0
AfAa030	55	348	348	0	354	354	0	353	353	0
AfAa031	48	315	315	0	317	317	0	316	316	0
AfAa032	35	266	266	0	297	297	0	291	291	0
AfAa036	31	203	203	0	302	301	1	320	320	0
AfAa041	20	76	76	0	97	97	0	77	77	0
AfAa042	53	323	323	0	327	326	1	323	323	0
AfAa043	56	269	269	0	296	296	0	287	287	0
AfAa051	19	131	130	1	238	237	1	204	202	2
AfAa052	54	63	63	0	63	63	0	64	64	0
AfAa053	1	7	7	0	7	7	0	236	236	0
AfAa054	48	225	225	0	258	258	0	255	255	0
AfAa056	1	1	1	0	2	2	0	5	5	0
AfAa059	19	108	108	0	149	147	2	120	120	0
AfAa060	33	112	112	0	126	126	0	149	149	0

total reads	9100
unrecognised reads	2
