Serial,Sample,Loci,like_AA,like_AB
1,NC-2_A,Arm01,0.0,0.0
2,NC-2_A,Arm02,1.0,0.0
3,NC-2_A,Arm03,0.0,0.0
4,NC-2_A,Arm04,0.0,0.0
5,NC-2_A,Arm05,0.0,0.0
6,NC-2_A,Arm06,0.0,0.0
7,NC-2_A,Arm07,0.0,0.0
8,NC-2_A,Arm08,0.0,0.0
9,NC-2_A,Arm09,0.0,0.0
10,NC-2_A,Arm10,0.0,0.0
11,NC-2_A,Arm11,0.0,0.0
12,NC-2_A,Armo01,0.0,0.0
13,NC-2_A,Armo02,0.0,0.0
14,NC-2_A,Armo03,0.0,0.0
15,NC-2_A,Am-AG-1,0.0,0.0
16,NC-2_A,Am-AG-10,0.0,0.0
17,NC-2_A,Am-AG-4B,0.0,0.0
18,NC-2_A,Am-AG-11,0.0,0.0
19,NC-2_A,Am-CT-5,0.0,0.0
20,NC-2_A,Am-ATC-2,0.0,0.0
21,NC-2_A,Am-ATC-3,0.0,0.0
22,NC-2_A,Am-CT-2,0.0,0.0
23,NC-2_A,Am-AG-2B,0.0,0.0
24,NC-2_B,Arm01,0.0,0.0
25,NC-2_B,Arm02,1.0,0.0
26,NC-2_B,Arm03,0.0,0.0
27,NC-2_B,Arm04,0.0,0.0
28,NC-2_B,Arm05,0.0,0.0
29,NC-2_B,Arm06,0.0,0.0
30,NC-2_B,Arm07,0.0,0.0
31,NC-2_B,Arm08,0.0,0.0
32,NC-2_B,Arm09,0.0,0.0
33,NC-2_B,Arm10,0.0,0.0
34,NC-2_B,Arm11,0.0,0.0
35,NC-2_B,Armo01,0.0,0.0
36,NC-2_B,Armo02,0.0,0.0
37,NC-2_B,Armo03,0.0,0.0
38,NC-2_B,Am-AG-1,0.0,0.0
39,NC-2_B,Am-AG-10,0.0,0.0
40,NC-2_B,Am-AG-4B,0.0,0.0
41,NC-2_B,Am-AG-11,0.0,0.0
42,NC-2_B,Am-CT-5,0.0,0.0
43,NC-2_B,Am-ATC-2,0.0,0.0
44,NC-2_B,Am-ATC-3,0.0,0.0
45,NC-2_B,Am-CT-2,0.0,0.0
46,NC-2_B,Am-AG-2B,0.0,0.0
47,SB-COUT-01_A,Arm01,1.0,0.0
48,SB-COUT-01_A,Arm02,0.0,0.0
49,SB-COUT-01_A,Arm03,0.0,0.0
50,SB-COUT-01_A,Arm04,1.0,0.0
51,SB-COUT-01_A,Arm05,0.0,0.0
52,SB-COUT-01_A,Arm06,0.0,0.0
53,SB-COUT-01_A,Arm07,0.0,0.0
54,SB-COUT-01_A,Arm08,1.0,0.0
55,SB-COUT-01_A,Arm09,0.0,0.0
56,SB-COUT-01_A,Arm10,1.0,0.0
57,SB-COUT-01_A,Arm11,0.0,0.0
58,SB-COUT-01_A,Armo01,0.0,0.0
59,SB-COUT-01_A,Armo02,0.0,0.0
60,SB-COUT-01_A,Armo03,1.0,0.0
61,SB-COUT-01_A,Am-AG-1,1.0,0.0
