marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	13	207	0	207	1304	4	1300	631	0	631
MSCB02	134	1317	0	1317	1488	0	1488	1594	0	1594
MSCB03	3	104	104	0	774	754	20	1885	1222	663
MSCB04	4	101	0	101	107	3	104	112	2	110
MSCB05	84	2605	2581	24	2637	2612	25	2928	2891	37
MSCB06	56	1405	0	1405	1508	6	1502	1448	0	1448
MSCB07	0	0	0	0	2	0	2	1	0	1
MSCB08	0	0	0	0	813	8	805	451	3	448
MSCB09	4	39	0	39	887	11	876	153	0	153
MSCB10	12	349	0	349	813	8	805	451	3	448
MSCB11	0	0	0	0	568	1	567	1319	655	664
MSCB12	27	1379	0	1379	1396	0	1396	1387	1	1386
MSCB13	2	3	0	3	156	0	156	114	0	114
MSCB14	67	2958	0	2958	3304	2	3302	2996	1	2995
MSCB15	3	14	0	14	606	7	599	808	1	807
MSCB16	1	1	0	1	8	0	8	281	0	281
MSCB17	42	1555	0	1555	1595	0	1595	1568	2	1566
MSCB18	1	8	0	8	61	17	44	179	1	178
MSCB19	0	0	0	0	1885	663	1222	774	20	754
MSCB20	133	3152	0	3152	3376	16	3360	3185	1	3184
MSCB21	67	1554	0	1554	1565	4	1561	1559	0	1559
MSCB22	44	1612	0	1612	2183	3	2180	1657	2	1655
MSCB23	5	43	0	43	271	0	271	712	0	712
MSCB24	104	2416	0	2416	2455	23	2432	2432	5	2427
MSCB25	1	2	0	2	1319	664	655	25	2	23
MSCB26	80	2296	0	2296	2328	1	2327	2494	1	2493
MSCB27	73	1706	0	1706	2243	8	2235	2500	4	2496
MSCB28	20	170	0	170	1021	2	1019	1037	1	1036
MSCB29	0	0	0	0	12	4	8	569	0	569
MSCB30	1	7	0	7	568	1	567	1319	655	664
MSCB31	28	1299	0	1299	1576	1	1575	1349	1	1348
MSCB32	7	55	0	55	58	1	57	59	2	57
MSCB33	0	0	0	0	971	1	970	555	3	552
MSCB34	48	2607	0	2607	2614	1	2613	2891	1	2890
MSCB35	3	3	0	3	2933	37	2896	2637	25	2612
MSCB36	171	5413	0	5413	5477	0	5477	5803	25	5778
MSCB37	5	13	0	13	971	1	970	555	3	552
MSCB38	73	2096	0	2096	2168	5	2163	2479	8	2471

total reads	49052
unrecognised reads	1633
