marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	2	5	5	0	1053	1051	2	337	337	0
MSCB02	101	1254	1254	0	1286	1285	1	1387	1387	0
MSCB03	6	6	6	0	1456	1453	3	1693	1617	76
MSCB04	188	2769	2769	0	2814	2814	0	2934	2934	0
MSCB05	210	3778	2141	1637	3829	2148	1681	4330	2228	2102
MSCB06	0	0	0	0	33	32	1	268	267	1
MSCB07	22	179	179	0	202	202	0	183	182	1
MSCB08	0	0	0	0	4240	4204	36	2488	2486	2
MSCB09	158	705	705	0	1728	1724	4	3905	3905	0
MSCB10	77	1719	1719	0	4240	4204	36	2488	2486	2
MSCB11	0	0	0	0	778	778	0	1839	892	947
MSCB12	30	948	948	0	964	958	6	959	959	0
MSCB13	3	3	3	0	16	16	0	2048	2044	4
MSCB14	54	935	935	0	951	951	0	1111	1076	35
MSCB15	0	0	0	0	346	346	0	0	0	0
MSCB16	1	1	1	0	1	1	0	3	3	0
MSCB17	44	896	896	0	986	986	0	909	908	1
MSCB18	0	0	0	0	11	11	0	2	1	1
MSCB19	98	1141	0	1141	1693	76	1617	1456	3	1453
MSCB20	1	7	7	0	69	69	0	137	130	7
MSCB21	491	10761	10761	0	10870	10870	0	10781	10780	1
MSCB22	50	759	759	0	1312	1294	18	779	779	0
MSCB23	0	0	0	0	175	173	2	700	700	0
MSCB24	75	1211	1211	0	1312	1311	1	1242	1242	0
MSCB25	10	180	93	87	1839	947	892	201	113	88
MSCB26	78	1821	1821	0	1829	1828	1	1952	1952	0
MSCB27	71	1192	1192	0	1958	1955	3	2031	2028	3
MSCB28	0	0	0	0	141	141	0	99	97	2
MSCB29	0	0	0	0	5	2	3	871	871	0
MSCB30	1	12	12	0	778	778	0	1839	892	947
MSCB31	8	40	40	0	50	46	4	1010	1010	0
MSCB32	352	5281	5281	0	5311	5311	0	5291	5290	1
MSCB33	0	0	0	0	968	967	1	403	402	1
MSCB34	79	2722	2722	0	2729	2728	1	3004	3003	1
MSCB35	1	1	0	1	4332	2101	2231	3829	1681	2148
MSCB36	132	1513	1512	1	1661	1660	1	1824	1820	4
MSCB37	0	0	0	0	968	967	1	403	402	1
MSCB38	2	2	2	0	89	89	0	456	455	1

total reads	52669
unrecognised reads	1566
