marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	57	1184	0	1184	2005	5	2000	1615	0	1615
MSCB02	3	3	0	3	140	0	140	303	1	302
MSCB03	2	198	198	0	211	203	8	763	547	216
MSCB04	27	844	0	844	862	3	859	913	1	912
MSCB05	154	4380	4072	308	4438	4129	309	4555	4228	327
MSCB06	48	1292	0	1292	1305	3	1302	1309	0	1309
MSCB07	4	6	0	6	14	3	11	6	0	6
MSCB08	0	0	0	0	900	0	900	716	1	715
MSCB09	25	504	0	504	628	20	608	533	0	533
MSCB10	26	688	0	688	900	0	900	716	1	715
MSCB11	0	0	0	0	430	0	430	373	20	353
MSCB12	50	1438	0	1438	1445	0	1445	1450	2	1448
MSCB13	19	261	0	261	697	0	697	274	0	274
MSCB14	197	7101	0	7101	7232	7	7225	7160	0	7160
MSCB15	0	0	0	0	144	3	141	24	0	24
MSCB16	1	1	0	1	7	0	7	113	0	113
MSCB17	17	754	0	754	761	0	761	758	0	758
MSCB18	4	5	0	5	181	7	174	167	0	167
MSCB19	1	1	1	0	763	216	547	211	8	203
MSCB20	173	5680	0	5680	5752	18	5734	5703	2	5701
MSCB21	249	7973	0	7973	8050	9	8041	8008	3	8005
MSCB22	77	2411	0	2411	2774	5	2769	2454	0	2454
MSCB23	6	25	0	25	81	2	79	596	1	595
MSCB24	32	926	0	926	1564	5	1559	932	4	928
MSCB25	1	1	1	0	373	353	20	80	1	79
MSCB26	3	123	0	123	267	5	262	896	0	896
MSCB27	64	1964	0	1964	2430	13	2417	2487	6	2481
MSCB28	0	0	0	0	64	1	63	264	1	263
MSCB29	0	0	0	0	7	0	7	203	0	203
MSCB30	0	0	0	0	430	0	430	373	20	353
MSCB31	0	0	0	0	391	0	391	58	2	56
MSCB32	39	774	0	774	779	1	778	778	0	778
MSCB33	0	0	0	0	303	0	303	356	4	352
MSCB34	58	2798	0	2798	2815	1	2814	3008	0	3008
MSCB35	0	0	0	0	4555	327	4228	4438	309	4129
MSCB36	155	5369	1	5368	5401	1	5400	5438	14	5424
MSCB37	6	60	0	60	303	0	303	356	4	352
MSCB38	47	1354	0	1354	1370	5	1365	1525	2	1523

total reads	57016
unrecognised reads	3116
