marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	3	4	4	0	145	144	1	39	39	0
MSCB02	17	97	97	0	99	99	0	143	143	0
MSCB03	2	2	2	0	333	280	53	308	277	31
MSCB04	15	109	109	0	113	113	0	123	123	0
MSCB05	36	281	80	201	287	80	207	354	92	262
MSCB06	0	0	0	0	16	16	0	387	387	0
MSCB07	2	3	3	0	5	5	0	9	6	3
MSCB08	0	0	0	0	618	609	9	301	301	0
MSCB09	61	145	145	0	538	534	4	755	755	0
MSCB10	8	81	81	0	618	609	9	301	301	0
MSCB11	0	0	0	0	88	88	0	138	118	20
MSCB12	13	120	120	0	124	123	1	121	121	0
MSCB13	8	10	10	0	32	31	1	695	694	1
MSCB14	6	36	36	0	56	56	0	45	40	5
MSCB15	1	3	3	0	7	6	1	4	4	0
MSCB16	1	1	1	0	2	2	0	53	53	0
MSCB17	12	105	105	0	126	126	0	107	106	1
MSCB18	3	27	27	0	42	42	0	51	51	0
MSCB19	42	271	16	255	308	31	277	333	53	280
MSCB20	5	44	44	0	164	164	0	98	98	0
MSCB21	94	981	981	0	992	992	0	987	987	0
MSCB22	5	20	20	0	92	89	3	25	25	0
MSCB23	0	0	0	0	7	6	1	153	153	0
MSCB24	5	48	48	0	130	130	0	52	52	0
MSCB25	1	1	0	1	138	20	118	1	0	1
MSCB26	14	223	223	0	224	224	0	246	245	1
MSCB27	7	65	65	0	202	202	0	158	158	0
MSCB28	61	277	277	0	287	287	0	372	372	0
MSCB29	0	0	0	0	3	1	2	224	224	0
MSCB30	2	9	9	0	88	88	0	138	118	20
MSCB31	5	7	7	0	20	20	0	115	115	0
MSCB32	27	212	212	0	214	214	0	213	213	0
MSCB33	0	0	0	0	67	67	0	43	43	0
MSCB34	49	1017	1017	0	1022	1022	0	1070	1070	0
MSCB35	0	0	0	0	354	262	92	287	207	80
MSCB36	103	2099	2098	1	2177	2176	1	2321	2320	1
MSCB37	12	32	32	0	67	67	0	43	43	0
MSCB38	6	8	8	0	117	117	0	145	145	0

total reads	8944
unrecognised reads	144
