marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	0	0	0	0	887	1	886	430	0	430
MSCB02	31	150	0	150	482	1	481	503	0	503
MSCB03	0	0	0	0	704	698	6	829	418	411
MSCB04	19	385	0	385	405	1	404	567	0	567
MSCB05	43	561	5	556	669	94	575	1245	629	616
MSCB06	24	599	0	599	918	3	915	636	0	636
MSCB07	6	19	0	19	43	1	42	31	0	31
MSCB08	0	0	0	0	764	1	763	382	4	378
MSCB09	40	395	0	395	839	9	830	1090	1	1089
MSCB10	12	323	0	323	764	1	763	382	4	378
MSCB11	0	0	0	0	647	2	645	830	513	317
MSCB12	34	462	0	462	608	1	607	553	1	552
MSCB13	7	47	0	47	422	1	421	179	1	178
MSCB14	85	1311	0	1311	2319	3	2316	1347	0	1347
MSCB15	13	70	0	70	460	2	458	692	0	692
MSCB16	5	11	0	11	74	1	73	473	0	473
MSCB17	26	241	0	241	778	0	778	282	1	281
MSCB18	14	235	0	235	305	0	305	282	0	282
MSCB19	5	9	0	9	829	411	418	704	6	698
MSCB20	23	295	0	295	1107	8	1099	301	0	301
MSCB21	66	1197	0	1197	1288	6	1282	1220	0	1220
MSCB22	1	1	0	1	252	17	235	251	0	251
MSCB23	8	8	0	8	241	1	240	305	1	304
MSCB24	20	210	0	210	900	2	898	250	5	245
MSCB25	0	0	0	0	830	317	513	51	0	51
MSCB26	66	679	0	679	748	0	748	1279	0	1279
MSCB27	8	13	0	13	560	31	529	926	4	922
MSCB28	175	1197	0	1197	1606	0	1606	1508	1	1507
MSCB29	3	4	0	4	102	2	100	780	3	777
MSCB30	15	18	0	18	647	2	645	830	513	317
MSCB31	12	59	0	59	361	0	361	800	0	800
MSCB32	57	744	0	744	763	0	763	762	1	761
MSCB33	0	0	0	0	672	3	669	449	3	446
MSCB34	3	3	0	3	71	1	70	727	0	727
MSCB35	1	1	0	1	1180	613	567	669	575	94
MSCB36	106	2236	1	2235	2335	1	2334	2459	10	2449
MSCB37	12	45	0	45	672	3	669	449	3	446
MSCB38	32	618	1	617	715	1	714	1192	3	1189

total reads	25340
unrecognised reads	1058
