marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	15	247	0	247	340	0	340	287	0	287
MSCB02	14	147	0	147	152	0	152	178	0	178
MSCB03	5	13	11	2	1062	488	574	721	152	569
MSCB04	3	14	0	14	17	1	16	18	1	17
MSCB05	45	801	799	2	809	807	2	894	889	5
MSCB06	11	94	0	94	111	1	110	121	1	120
MSCB07	0	0	0	0	1	1	0	0	0	0
MSCB08	0	0	0	0	121	1	120	35	1	34
MSCB09	14	81	0	81	160	2	158	121	0	121
MSCB10	3	14	0	14	121	1	120	35	1	34
MSCB11	0	0	0	0	60	0	60	78	20	58
MSCB12	9	135	0	135	141	0	141	138	0	138
MSCB13	4	13	0	13	160	0	160	13	0	13
MSCB14	51	757	0	757	1438	1	1437	768	1	767
MSCB15	13	42	0	42	159	0	159	97	0	97
MSCB16	19	21	0	21	410	0	410	203	0	203
MSCB17	6	117	0	117	141	0	141	117	0	117
MSCB18	6	46	0	46	154	2	152	76	0	76
MSCB19	29	538	533	5	721	569	152	1062	574	488
MSCB20	17	287	0	287	507	4	503	291	2	289
MSCB21	44	802	0	802	819	3	816	803	0	803
MSCB22	9	117	0	117	142	0	142	118	0	118
MSCB23	8	13	0	13	240	0	240	42	1	41
MSCB24	8	58	0	58	113	0	113	59	1	58
MSCB25	3	20	20	0	78	58	20	20	20	0
MSCB26	17	195	0	195	201	0	201	232	0	232
MSCB27	8	72	1	71	153	1	152	150	5	145
MSCB28	74	656	0	656	804	1	803	816	1	815
MSCB29	25	29	0	29	221	1	220	436	1	435
MSCB30	1	2	0	2	60	0	60	78	20	58
MSCB31	5	10	0	10	53	1	52	44	0	44
MSCB32	5	19	0	19	20	0	20	19	0	19
MSCB33	0	0	0	0	221	3	218	89	0	89
MSCB34	12	220	0	220	226	0	226	254	0	254
MSCB35	0	0	0	0	894	5	889	809	2	807
MSCB36	33	704	1	703	801	1	800	748	8	740
MSCB37	13	50	0	50	221	3	218	89	0	89
MSCB38	19	99	0	99	116	0	116	266	1	265

total reads	9686
unrecognised reads	857
