marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	0	0	0	0	160	160	0	104	104	0
MSCB02	37	371	371	0	380	380	0	426	426	0
MSCB03	0	0	0	0	216	2	214	189	130	59
MSCB04	3	12	12	0	12	12	0	16	15	1
MSCB05	77	765	5	760	772	5	767	863	10	853
MSCB06	21	215	215	0	217	217	0	222	222	0
MSCB07	0	0	0	0	0	0	0	8	4	4
MSCB08	0	0	0	0	120	118	2	73	73	0
MSCB09	32	267	267	0	318	316	2	281	281	0
MSCB10	9	64	64	0	120	118	2	73	73	0
MSCB11	0	0	0	0	97	97	0	190	129	61
MSCB12	16	240	240	0	250	246	4	240	240	0
MSCB13	9	39	39	0	246	246	0	53	52	1
MSCB14	74	1252	1252	0	1304	1304	0	1260	1254	6
MSCB15	10	41	41	0	43	43	0	50	50	0
MSCB16	3	49	49	0	49	49	0	87	87	0
MSCB17	18	220	220	0	222	222	0	222	222	0
MSCB18	5	78	78	0	80	80	0	100	100	0
MSCB19	8	51	50	1	189	59	130	216	214	2
MSCB20	24	436	436	0	445	445	0	437	437	0
MSCB21	63	544	544	0	549	549	0	545	545	0
MSCB22	11	93	93	0	151	151	0	94	94	0
MSCB23	1	1	1	0	87	85	2	115	115	0
MSCB24	16	252	252	0	319	318	1	255	255	0
MSCB25	0	0	0	0	190	61	129	3	3	0
MSCB26	14	347	347	0	350	349	1	379	379	0
MSCB27	29	236	236	0	377	377	0	401	401	0
MSCB28	166	1404	1404	0	1412	1411	1	1445	1445	0
MSCB29	0	0	0	0	1	1	0	75	75	0
MSCB30	1	1	1	0	97	97	0	190	129	61
MSCB31	1	1	1	0	92	92	0	55	55	0
MSCB32	4	9	9	0	9	9	0	9	9	0
MSCB33	0	0	0	0	332	331	1	247	246	1
MSCB34	28	571	571	0	572	572	0	631	631	0
MSCB35	1	1	1	0	864	854	10	772	767	5
MSCB36	117	1262	1262	0	1286	1286	0	1277	1277	0
MSCB37	33	235	235	0	332	331	1	247	246	1
MSCB38	35	311	311	0	318	317	1	396	395	1

total reads	11111
unrecognised reads	385
