marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	3	3	0	3	115	0	115	30	0	30
MSCB02	9	88	0	88	93	0	93	105	0	105
MSCB03	0	0	0	0	308	30	278	277	25	252
MSCB04	9	88	0	88	103	0	103	100	0	100
MSCB05	33	244	180	64	261	187	74	304	230	74
MSCB06	0	0	0	0	23	1	22	130	0	130
MSCB07	2	3	0	3	8	1	7	5	0	5
MSCB08	0	0	0	0	307	2	305	162	1	161
MSCB09	12	12	0	12	268	8	260	145	0	145
MSCB10	6	61	0	61	307	2	305	162	1	161
MSCB11	0	0	0	0	64	0	64	182	109	73
MSCB12	8	96	0	96	118	0	118	99	0	99
MSCB13	4	4	0	4	18	0	18	180	0	180
MSCB14	4	31	0	31	49	1	48	34	0	34
MSCB15	1	2	0	2	6	0	6	4	0	4
MSCB16	1	1	0	1	3	0	3	30	0	30
MSCB17	10	86	0	86	122	0	122	89	0	89
MSCB18	1	13	0	13	34	1	33	29	0	29
MSCB19	22	242	232	10	277	252	25	308	278	30
MSCB20	6	34	0	34	214	2	212	53	0	53
MSCB21	83	895	0	895	953	0	953	909	0	909
MSCB22	5	18	0	18	76	2	74	22	0	22
MSCB23	0	0	0	0	7	0	7	119	0	119
MSCB24	6	36	0	36	272	1	271	36	0	36
MSCB25	1	1	1	0	182	73	109	2	2	0
MSCB26	13	192	0	192	205	0	205	199	1	198
MSCB27	9	54	0	54	169	1	168	129	3	126
MSCB28	36	230	0	230	269	0	269	310	0	310
MSCB29	1	1	0	1	4	1	3	124	0	124
MSCB30	2	8	0	8	64	0	64	182	109	73
MSCB31	5	6	0	6	34	0	34	104	1	103
MSCB32	24	191	0	191	202	1	201	194	0	194
MSCB33	0	0	0	0	54	0	54	33	1	32
MSCB34	27	962	0	962	997	0	997	1013	2	1011
MSCB35	0	0	0	0	303	73	230	261	74	187
MSCB36	132	1709	1	1708	2301	2	2299	1802	2	1800
MSCB37	11	25	0	25	54	0	54	33	1	32
MSCB38	7	8	0	8	391	2	389	52	0	52

total reads	8944
unrecognised reads	1108
