marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	9	36	0	36	1290	6	1284	705	1	704
MSCB02	161	998	0	998	1072	2	1070	1292	0	1292
MSCB03	3	3	3	0	1278	1275	3	1697	836	861
MSCB04	33	843	0	843	871	0	871	949	4	945
MSCB05	160	2337	1400	937	2419	1464	955	3869	2823	1046
MSCB06	72	1421	0	1421	1745	2	1743	1493	0	1493
MSCB07	4	53	0	53	112	1	111	111	1	110
MSCB08	0	0	0	0	1908	1	1907	1326	4	1322
MSCB09	125	1222	0	1222	1798	14	1784	1276	4	1272
MSCB10	52	1236	0	1236	1908	1	1907	1326	4	1322
MSCB11	0	0	0	0	1269	0	1269	1814	775	1039
MSCB12	43	952	0	952	1030	0	1030	970	1	969
MSCB13	7	82	0	82	812	0	812	142	0	142
MSCB14	173	2398	0	2398	3933	8	3925	2426	1	2425
MSCB15	37	414	0	414	610	1	609	688	2	686
MSCB16	11	156	0	156	220	0	220	545	0	545
MSCB17	41	795	0	795	1421	0	1421	801	1	800
MSCB18	39	579	0	579	630	3	627	781	1	780
MSCB19	44	445	0	445	1697	861	836	1278	3	1275
MSCB20	48	1093	0	1093	1170	19	1151	1099	1	1098
MSCB21	100	2251	0	2251	2367	12	2355	2295	1	2294
MSCB22	4	48	0	48	329	8	321	157	0	157
MSCB23	7	9	0	9	278	0	278	287	3	284
MSCB24	77	1093	0	1093	1986	6	1980	1118	4	1114
MSCB25	1	3	2	1	1814	1039	775	46	3	43
MSCB26	141	1874	0	1874	1947	3	1944	2095	1	2094
MSCB27	17	65	0	65	884	9	875	1378	14	1364
MSCB28	297	2663	0	2663	3147	3	3144	2935	5	2930
MSCB29	0	0	0	0	6	1	5	1459	3	1456
MSCB30	46	146	0	146	1269	0	1269	1814	775	1039
MSCB31	3	73	0	73	435	0	435	1222	1	1221
MSCB32	92	1521	0	1521	1549	0	1549	1606	0	1606
MSCB33	4	23	0	23	1633	5	1628	1438	5	1433
MSCB34	31	760	0	760	794	1	793	1855	1	1854
MSCB35	1	1	0	1	3854	1041	2813	2419	955	1464
MSCB36	146	3507	1	3506	3631	2	3629	3655	14	3641
MSCB37	75	1118	0	1118	1633	5	1628	1438	5	1433
MSCB38	71	1302	0	1302	1377	6	1371	2035	1	2034

total reads	48152
unrecognised reads	1768
