marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	2	6	0	6	957	0	957	309	1	308
MSCB02	85	1190	0	1190	1257	2	1255	1268	0	1268
MSCB03	4	4	0	4	1429	3	1426	1542	55	1487
MSCB04	74	2588	0	2588	2734	2	2732	2763	1	2762
MSCB05	145	3614	1578	2036	3734	1622	2112	4156	2037	2119
MSCB06	0	0	0	0	40	5	35	69	0	69
MSCB07	17	166	0	166	198	3	195	168	0	168
MSCB08	0	0	0	0	2588	5	2583	1859	2	1857
MSCB09	26	26	0	26	736	11	725	612	2	610
MSCB10	57	1554	0	1554	2588	5	2583	1859	2	1857
MSCB11	0	0	0	0	702	0	702	1674	918	756
MSCB12	34	863	0	863	949	0	949	874	0	874
MSCB13	1	1	0	1	14	0	14	505	1	504
MSCB14	37	877	0	877	911	2	909	1014	4	1010
MSCB15	0	0	0	0	277	0	277	1	0	1
MSCB16	1	1	0	1	1	0	1	4	0	4
MSCB17	40	824	0	824	962	0	962	835	0	835
MSCB18	0	0	0	0	3	2	1	0	0	0
MSCB19	71	1097	1097	0	1542	1487	55	1429	1426	3
MSCB20	1	5	0	5	153	23	130	54	3	51
MSCB21	333	10383	0	10383	10716	4	10712	10440	1	10439
MSCB22	37	720	0	720	1260	14	1246	745	3	742
MSCB23	0	0	0	0	174	2	172	613	0	613
MSCB24	63	1091	0	1091	1321	6	1315	1118	7	1111
MSCB25	10	164	79	85	1674	756	918	184	87	97
MSCB26	89	1695	0	1695	1785	1	1784	1756	2	1754
MSCB27	54	1115	0	1115	1846	13	1833	1898	8	1890
MSCB28	0	0	0	0	111	1	110	72	0	72
MSCB29	0	0	0	0	0	0	0	767	0	767
MSCB30	1	10	0	10	702	0	702	1674	918	756
MSCB31	8	39	0	39	59	0	59	898	2	896
MSCB32	217	5111	0	5111	5239	2	5237	5148	3	5145
MSCB33	0	0	0	0	861	3	858	329	1	328
MSCB34	61	2586	0	2586	2685	2	2683	2854	2	2852
MSCB35	4	4	2	2	4145	2111	2034	3734	2112	1622
MSCB36	116	1036	1	1035	1679	1	1678	1110	12	1098
MSCB37	0	0	0	0	861	3	858	329	1	328
MSCB38	2	4	0	4	159	1	158	155	3	152

total reads	52669
unrecognised reads	5168
