marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	45	1182	1182	0	1988	1988	0	1606	1606	0
MSCB02	2	2	2	0	137	137	0	301	301	0
MSCB03	1	198	0	198	209	6	203	741	199	542
MSCB04	27	842	842	0	857	857	0	904	904	0
MSCB05	157	4372	307	4065	4430	308	4122	4542	325	4217
MSCB06	42	1289	1289	0	1295	1295	0	1305	1305	0
MSCB07	4	6	6	0	11	11	0	6	6	0
MSCB08	0	0	0	0	835	835	0	704	704	0
MSCB09	15	507	507	0	540	540	0	518	518	0
MSCB10	28	695	695	0	835	835	0	704	704	0
MSCB11	0	0	0	0	421	421	0	370	351	19
MSCB12	38	1437	1437	0	1439	1439	0	1444	1444	0
MSCB13	22	263	263	0	699	699	0	267	267	0
MSCB14	163	7101	7101	0	7216	7210	6	7103	7103	0
MSCB15	0	0	0	0	139	139	0	23	23	0
MSCB16	1	1	1	0	7	7	0	84	84	0
MSCB17	18	753	753	0	758	758	0	756	756	0
MSCB18	4	5	5	0	176	173	3	165	165	0
MSCB19	1	1	0	1	741	542	199	209	203	6
MSCB20	99	5709	5709	0	5727	5727	0	5712	5712	0
MSCB21	220	7963	7963	0	8024	8024	0	7972	7972	0
MSCB22	73	2413	2413	0	2776	2771	5	2448	2448	0
MSCB23	7	25	25	0	77	76	1	592	592	0
MSCB24	32	926	926	0	1558	1557	1	927	927	0
MSCB25	1	1	0	1	370	19	351	80	79	1
MSCB26	5	123	123	0	264	260	4	891	891	0
MSCB27	48	1960	1960	0	2411	2408	3	2457	2457	0
MSCB28	0	0	0	0	53	53	0	260	259	1
MSCB29	0	0	0	0	4	4	0	190	190	0
MSCB30	0	0	0	0	421	421	0	370	351	19
MSCB31	0	0	0	0	386	386	0	56	56	0
MSCB32	35	774	774	0	776	776	0	777	777	0
MSCB33	0	0	0	0	303	303	0	347	347	0
MSCB34	53	2798	2798	0	2804	2804	0	2998	2998	0
MSCB35	1	1	1	0	4542	4217	325	4430	4122	308
MSCB36	139	5370	5369	1	5387	5386	1	5406	5403	3
MSCB37	5	60	60	0	303	303	0	347	347	0
MSCB38	52	1355	1355	0	1362	1362	0	1509	1509	0

total reads	55701
unrecognised reads	2278
