marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	10	60	60	0	1247	1246	1	699	699	0
MSCB02	66	1040	1040	0	1207	1206	1	1780	1780	0
MSCB03	2	18	0	18	2155	2	2153	1894	1240	654
MSCB04	0	0	0	0	1	0	1	3	3	0
MSCB05	154	2828	0	2828	2906	0	2906	4034	19	4015
MSCB06	60	1306	1306	0	2033	2032	1	1510	1510	0
MSCB07	0	0	0	0	11	3	8	5	4	1
MSCB08	0	0	0	0	905	879	26	387	380	7
MSCB09	63	767	767	0	1741	1735	6	1554	1552	2
MSCB10	14	231	231	0	905	879	26	387	380	7
MSCB11	0	0	0	0	854	854	0	2574	1058	1516
MSCB12	62	1493	1493	0	1557	1552	5	1793	1793	0
MSCB13	15	128	128	0	1027	1027	0	715	715	0
MSCB14	123	3129	3129	0	5746	5744	2	3167	3135	32
MSCB15	12	235	235	0	1038	1037	1	1064	1063	1
MSCB16	6	67	67	0	105	105	0	1767	1767	0
MSCB17	54	944	944	0	2371	2371	0	1088	1084	4
MSCB18	27	575	575	0	672	672	0	857	854	3
MSCB19	12	82	80	2	1894	654	1240	2155	2153	2
MSCB20	49	2220	2220	0	2938	2938	0	2246	2244	2
MSCB21	3	4	4	0	10	10	0	11	10	1
MSCB22	6	47	47	0	276	265	11	82	81	1
MSCB23	3	6	6	0	338	337	1	500	499	1
MSCB24	68	943	943	0	2725	2723	2	1052	1052	0
MSCB25	6	24	24	0	2574	1516	1058	106	106	0
MSCB26	126	2677	2676	1	2778	2776	2	3865	3864	1
MSCB27	23	192	192	0	1088	1087	1	1345	1345	0
MSCB28	303	3070	3068	2	3570	3567	3	3675	3670	5
MSCB29	0	0	0	0	89	87	2	1927	1925	2
MSCB30	21	107	107	0	854	854	0	2574	1058	1516
MSCB31	17	65	65	0	560	556	4	3799	3799	0
MSCB32	0	0	0	0	0	0	0	2	1	1
MSCB33	0	0	0	0	1875	1872	3	2521	2521	0
MSCB34	54	1262	1262	0	1272	1271	1	2366	2366	0
MSCB35	0	0	0	0	4028	4009	19	2906	2906	0
MSCB36	105	4031	4030	1	4294	4293	1	5329	5301	28
MSCB37	112	1189	1189	0	1875	1872	3	2521	2521	0
MSCB38	64	1460	1460	0	2348	2337	11	2638	2630	8

total reads	52762
unrecognised reads	942
