marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	7	209	209	0	1309	1306	3	635	635	0
MSCB02	57	1326	1326	0	1504	1503	1	1600	1600	0
MSCB03	3	104	0	104	782	20	762	1903	662	1241
MSCB04	6	101	101	0	103	103	0	111	110	1
MSCB05	86	2613	24	2589	2640	24	2616	2941	41	2900
MSCB06	53	1410	1410	0	1509	1509	0	1450	1450	0
MSCB07	0	0	0	0	2	2	0	11	4	7
MSCB08	0	0	0	0	827	804	23	459	452	7
MSCB09	4	39	39	0	901	896	5	148	148	0
MSCB10	10	354	354	0	827	804	23	459	452	7
MSCB11	0	0	0	0	574	573	1	1335	668	667
MSCB12	26	1388	1388	0	1396	1391	5	1394	1394	0
MSCB13	2	3	3	0	158	158	0	118	117	1
MSCB14	60	2991	2991	0	3362	3362	0	3020	3002	18
MSCB15	3	14	14	0	611	606	5	811	811	0
MSCB16	1	1	1	0	9	8	1	285	284	1
MSCB17	41	1556	1556	0	1598	1598	0	1560	1560	0
MSCB18	1	8	8	0	60	45	15	180	179	1
MSCB19	0	0	0	0	1903	1241	662	782	762	20
MSCB20	56	3167	3167	0	3379	3379	0	3195	3193	2
MSCB21	60	1560	1560	0	1573	1573	0	1564	1564	0
MSCB22	42	1620	1620	0	2192	2189	3	1662	1662	0
MSCB23	5	43	43	0	274	272	2	718	717	1
MSCB24	80	2423	2423	0	2456	2437	19	2445	2445	0
MSCB25	1	2	2	0	1335	667	668	24	22	2
MSCB26	66	2319	2319	0	2351	2349	2	2523	2522	1
MSCB27	52	1717	1717	0	2261	2260	1	2512	2510	2
MSCB28	22	171	171	0	1031	1030	1	1044	1044	0
MSCB29	0	0	0	0	7	6	1	574	574	0
MSCB30	1	7	7	0	574	573	1	1335	668	667
MSCB31	23	1300	1300	0	1581	1577	4	1348	1348	0
MSCB32	6	55	55	0	55	55	0	56	56	0
MSCB33	0	0	0	0	985	985	0	558	558	0
MSCB34	46	2618	2618	0	2622	2622	0	2909	2909	0
MSCB35	2	2	2	0	2944	2902	42	2640	2616	24
MSCB36	158	5450	5450	0	5516	5515	1	5821	5808	13
MSCB37	5	14	14	0	985	985	0	558	558	0
MSCB38	66	2108	2108	0	2191	2186	5	2485	2481	4

total reads	49052
unrecognised reads	1388
