marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	0	0	0	0	865	865	0	416	416	0
MSCB02	24	155	155	0	408	408	0	499	499	0
MSCB03	0	0	0	0	695	4	691	805	400	405
MSCB04	14	390	390	0	401	401	0	567	567	0
MSCB05	22	572	570	2	653	571	82	1146	629	517
MSCB06	16	618	618	0	911	911	0	655	655	0
MSCB07	6	19	19	0	41	41	0	31	31	0
MSCB08	0	0	0	0	746	745	1	344	344	0
MSCB09	30	407	407	0	535	535	0	1084	1084	0
MSCB10	8	331	331	0	746	745	1	344	344	0
MSCB11	0	0	0	0	408	407	1	774	285	489
MSCB12	16	496	496	0	587	587	0	580	580	0
MSCB13	5	46	46	0	414	414	0	178	178	0
MSCB14	63	1381	1381	0	2240	2237	3	1396	1396	0
MSCB15	9	70	70	0	429	427	2	670	670	0
MSCB16	5	11	11	0	69	69	0	468	468	0
MSCB17	17	248	248	0	757	757	0	285	285	0
MSCB18	8	240	240	0	300	300	0	284	284	0
MSCB19	4	9	9	0	805	405	400	695	691	4
MSCB20	9	304	304	0	1083	1083	0	304	304	0
MSCB21	60	1202	1202	0	1275	1275	0	1223	1223	0
MSCB22	1	1	1	0	244	227	17	246	246	0
MSCB23	1	1	1	0	144	144	0	296	296	0
MSCB24	15	226	226	0	848	847	1	257	257	0
MSCB25	0	0	0	0	774	489	285	48	48	0
MSCB26	29	710	710	0	739	739	0	1287	1287	0
MSCB27	7	12	12	0	536	512	24	918	918	0
MSCB28	111	1270	1270	0	1603	1603	0	1554	1554	0
MSCB29	1	3	3	0	89	89	0	747	744	3
MSCB30	10	14	14	0	408	407	1	774	285	489
MSCB31	12	59	59	0	342	342	0	790	790	0
MSCB32	40	754	754	0	763	763	0	765	765	0
MSCB33	0	0	0	0	653	650	3	433	433	0
MSCB34	2	2	2	0	48	48	0	712	712	0
MSCB35	2	2	2	0	1085	456	629	653	82	571
MSCB36	77	2261	2260	1	2323	2322	1	2467	2466	1
MSCB37	11	47	47	0	653	650	3	433	433	0
MSCB38	32	624	623	1	713	712	1	1188	1187	1

total reads	23201
unrecognised reads	18
