marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	7	208	208	0	1300	1300	0	630	630	0
MSCB02	38	1313	1313	0	1483	1483	0	1586	1586	0
MSCB03	3	104	0	104	770	19	751	1868	650	1218
MSCB04	5	101	101	0	102	102	0	110	110	0
MSCB05	66	2603	24	2579	2630	24	2606	2921	37	2884
MSCB06	39	1407	1407	0	1500	1500	0	1446	1446	0
MSCB07	0	0	0	0	2	2	0	0	0	0
MSCB08	0	0	0	0	551	549	2	354	354	0
MSCB09	4	39	39	0	123	123	0	143	143	0
MSCB10	10	349	349	0	551	549	2	354	354	0
MSCB11	0	0	0	0	467	466	1	1315	662	653
MSCB12	19	1380	1380	0	1383	1383	0	1385	1385	0
MSCB13	2	3	3	0	156	156	0	114	114	0
MSCB14	44	2952	2952	0	3291	3291	0	2962	2962	0
MSCB15	3	14	14	0	604	599	5	804	804	0
MSCB16	1	1	1	0	8	8	0	280	280	0
MSCB17	31	1554	1554	0	1594	1594	0	1558	1558	0
MSCB18	1	8	8	0	59	44	15	178	178	0
MSCB19	0	0	0	0	1868	1218	650	770	751	19
MSCB20	43	3150	3150	0	3350	3350	0	3174	3174	0
MSCB21	48	1553	1553	0	1559	1559	0	1556	1556	0
MSCB22	29	1612	1612	0	2181	2178	3	1652	1652	0
MSCB23	4	43	43	0	269	269	0	711	711	0
MSCB24	72	2412	2412	0	2442	2423	19	2420	2420	0
MSCB25	1	2	2	0	1315	653	662	22	22	0
MSCB26	46	2291	2291	0	2321	2320	1	2487	2486	1
MSCB27	30	1701	1701	0	2230	2229	1	2483	2483	0
MSCB28	19	171	171	0	1020	1019	1	1036	1036	0
MSCB29	0	0	0	0	5	5	0	570	570	0
MSCB30	1	7	7	0	467	466	1	1315	662	653
MSCB31	19	1299	1299	0	1572	1572	0	1345	1345	0
MSCB32	5	55	55	0	55	55	0	56	56	0
MSCB33	0	0	0	0	974	974	0	549	549	0
MSCB34	35	2599	2599	0	2603	2603	0	2883	2883	0
MSCB35	2	2	2	0	2923	2886	37	2630	2606	24
MSCB36	107	5408	5408	0	5467	5467	0	5772	5759	13
MSCB37	4	13	13	0	974	974	0	549	549	0
MSCB38	49	2096	2096	0	2159	2158	1	2463	2459	4

total reads	47462
unrecognised reads	1303
